modelo,epochs,precision,recall,mAP50,mAP50-95,delta_precision,delta_recall,delta_mAP50,delta_mAP50-95,selecionado
base_yolov8n_25ep,25,0.5909038666330758,0.32105263157894737,0.3513115385168307,0.24442866212294279,0.0,0.0,0.0,0.0,False
yolov8n_50ep,50,0.6586722313552764,0.3520932741440827,0.38269415998557244,0.25209675943612636,0.0677683647222006,0.031040642565135335,0.03138262146874171,0.007668097313183575,True
